SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
MOEX,TQBR,МосБиржа,209.95,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ПАО Московская Биржа,,FNDT,EQIN,,0.01,211.0,SUR,2024-08-22,2276401458,RU000A0JR4A1,MoscowExchange,1-05-08443-H,210.8,SUR,1,1,2024-08-26
MSNG,TQBR,+МосЭнерго,2.4805,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,МосЭнерго акции обыкн.,,FNDT,EQIN,,0.0005,2.547,SUR,2024-08-22,39749359700,RU0008958863,MosEnrg,1-01-00085-A,2.527,SUR,1,1,2024-08-26
MTLR,TQBR,Мечел ао,121.25,1,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ао,,FNDT,EQIN,,0.01,128.91,SUR,2024-08-22,416270745,RU000A0DKXV5,Mechel,1-01-55005-E,122.21,SUR,1,1,2024-08-26
MTLRP,TQBR,Мечел ап,131.25,10,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ап,,FNDT,EQIN,,0.05,136.9,SUR,2024-08-22,138756915,RU000A0JPV70,Mechel pref.,2-01-55005-E,130.55,SUR,2,1,2024-08-26
MTSS,TQBR,МТС-ао,195.0,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Мобильные ТелеСистемы ПАО ао,,FNDT,EQIN,,0.05,202.1,SUR,2024-08-22,1998381575,RU0007775219,MTS,1-01-04715-A,199.25,SUR,1,1,2024-08-26
NLMK,TQBR,НЛМК ао,143.94,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""НЛМК"" ао",,FNDT,EQIN,,0.02,147.68,SUR,2024-08-22,5993227240,RU0009046452,NLMK ao,1-01-00102-A,147.12,SUR,1,1,2024-08-26
NVTK,TQBR,Новатэк ао,950.4,1,0.1,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""НОВАТЭК"" ао",,FNDT,EQIN,,0.2,965.6,SUR,2024-08-22,3036306000,RU000A0DKVS5,NOVATEK,1-02-00268-E,949.6,SUR,1,1,2024-08-26
OZON,TQBR,OZON-адр,3332.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Ozon Holdings PLC ORD SHS,,FNDT,EQIN,,0.5,3398.0,USD,2024-08-22,0,US69269L1044,ADS Ozon Holdings PLC ORD SHS,,3304.5,SUR,D,1,2024-08-26
PHOR,TQBR,ФосАгро ао,5225.0,1,2.5,A,Т+: Акции и ДР - безадрес.,0,ФосАгро ПАО ао,,FNDT,EQIN,,1.0,5260.0,SUR,2024-08-22,129500000,RU000A0JRKT8,PhosAgro ao,1-02-06556-A,5254.0,SUR,1,1,2024-08-26
PIKK,TQBR,ПИК ао,732.9,1,62.5,A,Т+: Акции и ДР - безадрес.,1,ПИК СЗ (ПАО) ао,,FNDT,EQIN,,0.1,739.7,SUR,2024-08-22,660497344,RU000A0JP7J7,PIK SZ,1-02-01556-A,729.0,SUR,1,1,2024-08-26
