SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
MOEX,TQBR,МосБиржа,204.56,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ПАО Московская Биржа,,FNDT,EQIN,,0.01,202.81,SUR,2024-09-12,2276401458,RU000A0JR4A1,MoscowExchange,1-05-08443-H,203.72,SUR,1,1,2024-09-16
MSNG,TQBR,+МосЭнерго,2.192,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,МосЭнерго акции обыкн.,,FNDT,EQIN,,0.0005,2.1905,SUR,2024-09-12,39749359700,RU0008958863,MosEnrg,1-01-00085-A,2.1845,SUR,1,1,2024-09-16
MTLR,TQBR,Мечел ао,103.56,1,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ао,,FNDT,EQIN,,0.01,103.96,SUR,2024-09-12,416270745,RU000A0DKXV5,Mechel,1-01-55005-E,103.02,SUR,1,1,2024-09-16
MTLRP,TQBR,Мечел ап,107.8,10,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ап,,FNDT,EQIN,,0.05,108.8,SUR,2024-09-12,138756915,RU000A0JPV70,Mechel pref.,2-01-55005-E,107.8,SUR,2,1,2024-09-16
MTSS,TQBR,МТС-ао,195.3,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Мобильные ТелеСистемы ПАО ао,,FNDT,EQIN,,0.05,193.55,SUR,2024-09-12,1998381575,RU0007775219,MTS,1-01-04715-A,194.6,SUR,1,1,2024-09-16
NLMK,TQBR,НЛМК ао,140.7,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""НЛМК"" ао",,FNDT,EQIN,,0.02,141.18,SUR,2024-09-12,5993227240,RU0009046452,NLMK ao,1-01-00102-A,139.56,SUR,1,1,2024-09-16
NVTK,TQBR,Новатэк ао,956.0,1,0.1,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""НОВАТЭК"" ао",,FNDT,EQIN,,0.2,956.0,SUR,2024-09-12,3036306000,RU000A0DKVS5,NOVATEK,1-02-00268-E,955.0,SUR,1,1,2024-09-16
OZON,TQBR,OZON-адр,3120.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Ozon Holdings PLC ORD SHS,,FNDT,EQIN,,0.5,3091.5,USD,2024-09-12,0,US69269L1044,ADS Ozon Holdings PLC ORD SHS,,3089.0,SUR,D,1,2024-09-16
PHOR,TQBR,ФосАгро ао,4934.0,1,2.5,A,Т+: Акции и ДР - безадрес.,0,ФосАгро ПАО ао,,FNDT,EQIN,,1.0,4925.0,SUR,2024-09-12,129500000,RU000A0JRKT8,PhosAgro ao,1-02-06556-A,4924.0,SUR,1,1,2024-09-16
PIKK,TQBR,ПИК ао,637.5,1,62.5,A,Т+: Акции и ДР - безадрес.,1,ПИК СЗ (ПАО) ао,,FNDT,EQIN,,0.1,628.7,SUR,2024-09-12,660497344,RU000A0JP7J7,PIK SZ,1-02-01556-A,629.6,SUR,1,1,2024-09-16
PLZL,TQBR,Полюс,12657.0,1,1.0,A,Т+: Акции и ДР - безадрес.,1,Полюс ПАО ао,,FNDT,EQIN,,0.5,12548.5,SUR,2024-09-12,136069400,RU000A0JNAA8,Polus,1-01-55192-E,12567.0,SUR,1,1,2024-09-16
POSI,TQBR,iПозитив,2658.8,1,0.5,A,Т+: Акции и ДР - безадрес.,1,Группа Позитив ао,,FNDT,EQIN,,0.2,2606.2,SUR,2024-09-12,66000000,RU000A103X66,PJSC Positive Group,1-01-85307-H,2606.0,SUR,1,1,2024-09-16
ROSN,TQBR,Роснефть,488.45,1,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО НК Роснефть,,FNDT,EQIN,,0.05,479.9,SUR,2024-09-12,10598177817,RU000A0J2Q06,Rosneft,1-02-00122-A,483.5,SUR,1,1,2024-09-16
RTKM,TQBR,Ростел -ао,73.61,10,0.0025,A,Т+: Акции и ДР - безадрес.,2,Ростелеком (ПАО) ао.,,FNDT,EQIN,,0.01,73.12,SUR,2024-09-12,3282997929,RU0008943394,Rostelecom,1-01-00124-A,73.06,SUR,1,1,2024-09-16
RUAL,TQBR,РУСАЛ ао,30.265,10,0.656517,A,Т+: Акции и ДР - безадрес.,3,РУСАЛ ОК МКПАО ао,,FNDT,EQIN,,0.005,30.1,SUR,2024-09-12,15193014862,RU000A1025V3,RUSAL ao,1-01-16677-A,29.985,SUR,1,1,2024-09-16
SBER,TQBR,Сбербанк,254.93,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ао,,FNDT,EQIN,,0.01,255.42,SUR,2024-09-12,21586948000,RU0009029540,Sberbank,10301481B,253.21,SUR,1,1,2024-09-16
SBERP,TQBR,Сбербанк-п,254.93,10,3.0,A,Т+: Акции и ДР - безадрес.,2,Сбербанк России ПАО ап,,FNDT,EQIN,,0.01,255.59,SUR,2024-09-12,1000000000,RU0009029557,Sberbank (pref),20301481B,253.9,SUR,2,1,2024-09-16
SELG,TQBR,Селигдар,50.16,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Селигдар""  ао",,FNDT,EQIN,,0.01,49.68,SUR,2024-09-12,1030000000,RU000A0JPR50,Seligdar,1-01-32694-F,49.74,SUR,1,1,2024-09-16
SGZH,TQBR,Сегежа,1.4,100,0.1,A,Т+: Акции и ДР - безадрес.,3,Сегежа ао,,FNDT,EQIN,,0.001,1.404,SUR,2024-09-12,15690000000,RU000A102XG9,Segezha,1-01-87154-H,1.408,SUR,1,1,2024-09-16
SMLT,TQBR,Самолет ао,1808.5,1,25.0,A,Т+: Акции и ДР - безадрес.,1,ГК Самолет ао,,FNDT,EQIN,,0.5,1798.5,SUR,2024-09-12,61579358,RU000A0ZZG02,Samolet,1-01-16493-A,1796.5,SUR,1,1,2024-09-16
SNGS,TQBR,Сургнфгз,23.18,100,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО акции об.,,FNDT,EQIN,,0.005,23.125,SUR,2024-09-12,35725994705,RU0008926258,Surgut,1-01-00155-A,23.2,SUR,1,2,2024-09-16
SNGSP,TQBR,Сургнфгз-п,50.19,10,1.0,A,Т+: Акции и ДР - безадрес.,3,Сургутнефтегаз ПАО ап,,FNDT,EQIN,,0.005,49.64,SUR,2024-09-12,7701998235,RU0009029524,Surgut-pref,2-01-00155-A,49.88,SUR,2,2,2024-09-16
TATN,TQBR,Татнфт 3ао,593.4,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ао",,FNDT,EQIN,,0.1,589.6,SUR,2024-09-12,2178690700,RU0009033591,Tatneft-3,1-03-00161-A,591.5,SUR,1,1,2024-09-16
TATNP,TQBR,Татнфт 3ап,587.1,1,1.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""Татнефть"" ап 3 вып.",,FNDT,EQIN,,0.1,583.7,SUR,2024-09-12,147508500,RU0006944147,Tatneft (pref),2-03-00161-A,585.5,SUR,2,1,2024-09-16
TCSG,TQBR,ТКСХолд ао,2315.5,1,3.639384,A,Т+: Акции и ДР - безадрес.,1,ТКС Холдинг МКПАО ао,,FNDT,EQIN,,0.5,2316.0,SUR,2024-09-12,199305492,RU000A107UL4,IPJSC TCS Holding,1-01-16784-A,2308.0,SUR,1,1,2024-09-16
TRNFP,TQBR,Транснф ап,1337.5,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Транснефть ПАО акц.пр.,,FNDT,EQIN,,0.5,1320.5,SUR,2024-09-12,155487500,RU0009091573,Transneft (pref),2-01-00206-A,1327.0,SUR,2,1,2024-09-16
UPRO,TQBR,Юнипро ао,1.663,1000,0.4,A,Т+: Акции и ДР - безадрес.,3,Юнипро ПАО ао,,FNDT,EQIN,,0.001,1.656,SUR,2024-09-12,63048706145,RU000A0JNGA5,Unipro PAO ao,1-02-65104-D,1.65,SUR,1,1,2024-09-16
VKCO,TQBR,"МКПАО ""ВК""",340.6,1,0.000450595,A,Т+: Акции и ДР - безадрес.,1,Международная компания ПАО ВК,,FNDT,EQIN,,0.2,335.4,SUR,2024-09-12,227874940,RU000A106YF0,VK International Public JS Com,1-01-16753-A,334.2,SUR,1,1,2024-09-16
VTBR,TQBR,ВТБ ао,86.2,1,50.0,A,Т+: Акции и ДР - безадрес.,2,ао ПАО Банк ВТБ,,FNDT,EQIN,,0.01,86.03,SUR,2024-09-12,5369933893,RU000A0JP5V6,VTB,10401000B,85.78,SUR,1,1,2024-09-16
