SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
AFKS,TQBR,Система ао,19.817,100,0.09,A,Т+: Акции и ДР - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,19.972,SUR,2024-08-15,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,19.801,SUR,1,1,2024-08-19
AFLT,TQBR,Аэрофлот,49.04,10,1.0,A,Т+: Акции и ДР - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,49.54,SUR,2024-08-15,3975771215,RU0009062285,Aeroflot,1-01-00010-A,49.14,SUR,1,1,2024-08-19
AGRO,TQBR,AGRO-гдр,1233.2,1,0.0,A,Т+: Акции и ДР - безадрес.,1,ГДР ROS AGRO PLC ORD SHS,,FNDT,EQIN,,0.2,1242.6,USD,2024-08-15,0,US7496552057,GDR ROS AGRO PLC ORD SHS,,1234.0,SUR,D,1,2024-08-19
ALRS,TQBR,АЛРОСА ао,58.7,10,0.5,A,Т+: Акции и ДР - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,58.79,SUR,2024-08-15,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,58.82,SUR,1,1,2024-08-19
BSPB,TQBR,БСП ао,359.71,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,360.01,SUR,2024-08-15,457544031,RU0009100945,BSP,10300436B,360.5,SUR,1,1,2024-08-19
CBOM,TQBR,МКБ ао,6.767,100,1.0,A,Т+: Акции и ДР - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,6.76,SUR,2024-08-15,33429709866,RU000A0JUG31,MKB ao,10101978B,6.77,SUR,1,1,2024-08-19
CHMF,TQBR,СевСт-ао,1382.0,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Северсталь (ПАО)ао,,FNDT,EQIN,,0.2,1390.8,SUR,2024-08-15,837718660,RU0009046510,Severstal - ao,1-02-00143-A,1382.0,SUR,1,1,2024-08-19
ENPG,TQBR,ЭН+ГРУП ао,365.45,1,7e-05,A,Т+: Акции и ДР - безадрес.,2,МКПАО ЭН+ ГРУП ао,,FNDT,EQIN,,0.05,364.65,USD,2024-08-15,638848896,RU000A100K72,EN+ GROUP IPJSC ORD SHS,1-01-16625-A,364.35,SUR,1,1,2024-08-19
FEES,TQBR,Россети,0.1,10000,0.5,A,Т+: Акции и ДР - безадрес.,5,"""ФСК - Россети"" ПАО",,FNDT,EQIN,,2e-05,0.10094,SUR,2024-08-15,2113460101477,RU000A0JPNN9,FGC ROSSETI,1-01-65018-D,0.10028,SUR,1,1,2024-08-19
FIVE,TQBR,FIVE-гдр,2798.0,1,0.0,N,Т+: Акции и ДР - безадрес.,1,ГДР X5 RetailGroup N.V.ORD SHS,,FNDT,EQIN,,0.5,2810.5,USD,2024-08-15,0,US98387E2054,GDR X5 RetailGroup N.V.ORD SHS,,2792.5,SUR,D,1,2024-08-19
