SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
MOEX,TQBR,МосБиржа,227.29,10,1.0,A,Т+: Акции и ДР - безадрес.,2,ПАО Московская Биржа,,FNDT,EQIN,,0.01,228.19,SUR,2024-08-08,2276401458,RU000A0JR4A1,MoscowExchange,1-05-08443-H,227.55,SUR,1,1,2024-08-12
MSNG,TQBR,+МосЭнерго,2.526,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,МосЭнерго акции обыкн.,,FNDT,EQIN,,0.0005,2.5635,SUR,2024-08-08,39749359700,RU0008958863,MosEnrg,1-01-00085-A,2.5555,SUR,1,1,2024-08-12
MTLR,TQBR,Мечел ао,152.75,1,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ао,,FNDT,EQIN,,0.01,154.96,SUR,2024-08-08,416270745,RU000A0DKXV5,Mechel,1-01-55005-E,153.56,SUR,1,1,2024-08-12
MTLRP,TQBR,Мечел ап,159.55,10,10.0,A,Т+: Акции и ДР - безадрес.,2,Мечел ПАО ап,,FNDT,EQIN,,0.05,160.9,SUR,2024-08-08,138756915,RU000A0JPV70,Mechel pref.,2-01-55005-E,159.5,SUR,2,1,2024-08-12
MTSS,TQBR,МТС-ао,223.2,10,0.1,A,Т+: Акции и ДР - безадрес.,2,Мобильные ТелеСистемы ПАО ао,,FNDT,EQIN,,0.05,224.2,SUR,2024-08-08,1998381575,RU0007775219,MTS,1-01-04715-A,223.85,SUR,1,1,2024-08-12
NLMK,TQBR,НЛМК ао,160.04,10,1.0,A,Т+: Акции и ДР - безадрес.,2,"ПАО ""НЛМК"" ао",,FNDT,EQIN,,0.02,161.04,SUR,2024-08-08,5993227240,RU0009046452,NLMK ao,1-01-00102-A,160.7,SUR,1,1,2024-08-12
NVTK,TQBR,Новатэк ао,1018.0,1,0.1,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""НОВАТЭК"" ао",,FNDT,EQIN,,0.2,1021.6,SUR,2024-08-08,3036306000,RU000A0DKVS5,NOVATEK,1-02-00268-E,1020.0,SUR,1,1,2024-08-12
OZON,TQBR,OZON-адр,3639.0,1,0.0,A,Т+: Акции и ДР - безадрес.,1,АДР Ozon Holdings PLC ORD SHS,,FNDT,EQIN,,0.5,3672.5,USD,2024-08-08,0,US69269L1044,ADS Ozon Holdings PLC ORD SHS,,3667.0,SUR,D,1,2024-08-12
PHOR,TQBR,ФосАгро ао,5399.0,1,2.5,A,Т+: Акции и ДР - безадрес.,0,ФосАгро ПАО ао,,FNDT,EQIN,,1.0,5408.0,SUR,2024-08-08,129500000,RU000A0JRKT8,PhosAgro ao,1-02-06556-A,5399.0,SUR,1,1,2024-08-12
PIKK,TQBR,ПИК ао,769.1,1,62.5,A,Т+: Акции и ДР - безадрес.,1,ПИК СЗ (ПАО) ао,,FNDT,EQIN,,0.1,772.6,SUR,2024-08-08,660497344,RU000A0JP7J7,PIK SZ,1-02-01556-A,768.8,SUR,1,1,2024-08-12
